Vehicle ID,Body type,Make,Model,Year,Trim,MSRP,Seats,Engine ID,Length (in),Width (in),Height (in),Wheelbase (in),Ground clearance (in),Cargo capacity (cu ft),Weight (lbs),Maximum payload (lbs),Front head room (in),Front hip room (in),Front leg room (in),Front shoulder room (in),Rear head room (in),Rear hip room (in),Rear leg room (in),Rear shoulder room (in),Fuel tank capacity (gal)
100447605,Truck (Regular Cab),Ford,F-150,2005,XL,25750,3,20,211.2,78.9,75.6,126,,,6385,1740,40.9,65.4,41.3,66.5,,,,,26
100447606,Truck (Regular Cab),Ford,F-150,2005,XL,26055,3,20,229.8,78.9,74,144.5,,,6535,1760,40.9,65.4,41.3,66.5,,,,,27
100447608,Truck (Regular Cab),Ford,F-150,2005,STX,26565,3,20,211.2,78.9,75.6,126,,,6385,1740,40.9,65.4,41.3,66.5,,,,,26
100447609,Truck (Regular Cab),Ford,F-150,2005,STX,27420,3,20,211.2,78.9,75.6,126,,,6385,1740,40.9,65.4,41.3,66.5,,,,,26
100447623,Truck (Regular Cab),Ford,F-150,2005,XLT,28855,3,20,211.2,78.9,75.6,126,,,6385,1740,40.9,65.4,41.3,66.5,,,,,26
100447624,Truck (Regular Cab),Ford,F-150,2005,XLT,29710,3,20,211.2,78.9,75.6,126,,,6385,1740,40.9,65.4,41.3,66.5,,,,,26
100447625,Truck (Regular Cab),Ford,F-150,2005,XLT,29160,3,20,229.8,78.9,75.6,144.5,,,6535,1760,40.9,65.4,41.3,66.5,,,,,27
100447656,Truck (Regular Cab),Ford,F-150,2005,FX4,31960,3,21,211.2,78.9,75.6,126,,,6385,1740,40.9,65.4,41.3,66.5,,,,,26
100447657,Truck (Regular Cab),Ford,F-150,2005,FX4,31105,3,21,211.2,78.9,75.6,126,,,6385,1740,40.9,65.4,41.3,66.5,,,,,26
100447755,Truck (SuperCab),Ford,F-150,2005,XL,25510,6,21,248.4,78.9,73.4,163,,,7785,2640,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447758,Truck (SuperCab),Ford,F-150,2005,XL,28360,6,20,229.8,78.9,75.6,144.5,,,6535,1530,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447759,Truck (SuperCab),Ford,F-150,2005,XL,28665,6,21,248.4,78.9,75.4,163,,,7785,2290,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447760,Truck (SuperCab),Ford,F-150,2005,XL,25210,6,22,229.8,78.9,75.6,144.5,,,6285,1580,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447769,Truck (SuperCab),Ford,F-150,2005,STX,25560,6,22,217.8,78.9,76.5,132.5,,,6235,1620,40.9,65.8,41.3,66.8,39.6,,32.7,66.7,27
100447774,Truck (SuperCab),Ford,F-150,2005,STX,25865,6,22,229.8,78.9,75.6,144.5,,,6285,1580,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447775,Truck (SuperCab),Ford,F-150,2005,STX,26720,6,22,229.8,78.9,73.3,144.5,,,6285,1580,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447776,Truck (SuperCab),Ford,F-150,2005,STX,28715,6,20,217.8,78.9,73.5,132.5,,,6485,1570,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447778,Truck (SuperCab),Ford,F-150,2005,STX,29020,6,20,229.8,78.9,75.6,144.5,,,6535,1530,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447779,Truck (SuperCab),Ford,F-150,2005,STX,29875,6,20,229.8,78.9,75,144.5,,,6535,1530,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447839,Truck (SuperCab),Ford,F-150,2005,XLT,28045,6,22,217.8,78.9,76.5,132.5,,,6235,1620,40.9,65.8,41.3,66.8,39.6,,32.7,66.7,27
100447840,Truck (SuperCab),Ford,F-150,2005,XLT,28350,6,22,229.8,78.9,75.6,144.5,8.3,,6285,1580,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447841,Truck (SuperCab),Ford,F-150,2005,XLT,29205,6,22,229.8,78.9,73.5,144.5,,,6285,1580,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447842,Truck (SuperCab),Ford,F-150,2005,XLT,28655,6,21,248.4,78.9,73.4,163,,,7785,2640,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447843,Truck (SuperCab),Ford,F-150,2005,XLT,31080,6,20,217.8,78.9,73.5,132.5,,,6485,1570,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447844,Truck (SuperCab),Ford,F-150,2005,XLT,31405,6,20,229.8,78.9,75.6,144.5,,,6535,1530,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447846,Truck (SuperCab),Ford,F-150,2005,XLT,32235,6,20,229.8,78.9,75.6,144.5,,,6535,1530,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447847,Truck (SuperCab),Ford,F-150,2005,XLT,31685,6,21,248.4,78.9,75.4,163,,,7785,2290,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447848,Truck (SuperCab),Ford,F-150,2005,FX4,33325,6,21,217.8,78.9,73.5,132.5,,,6735,1640,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,26
100447849,Truck (SuperCab),Ford,F-150,2005,FX4,33630,6,21,229.8,78.9,75.6,144.5,,,6385,1740,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,26
100447850,Truck (SuperCab),Ford,F-150,2005,FX4,34485,6,21,229.8,78.9,75.6,144.5,,,6385,1740,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,26
100447859,Truck (SuperCab),Ford,F-150,2005,Lariat,30745,6,21,217.8,78.9,76.5,132.5,,,6535,1740,40.9,65.8,41.3,66.8,39.6,,32.7,66.7,27
100447861,Truck (SuperCab),Ford,F-150,2005,Lariat,31050,6,21,229.8,78.9,75.6,144.5,,,6635,1820,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447862,Truck (SuperCab),Ford,F-150,2005,Lariat,34080,6,21,217.8,78.9,73.5,132.5,,,6735,1640,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,27
100447864,Truck (SuperCab),Ford,F-150,2005,Lariat,34385,6,21,229.8,78.9,75.6,144.5,,,6385,1740,40.9,66.5,41.3,66.8,39.6,,32.7,66.7,26
100447907,Truck (SuperCrew),Ford,F-150,2005,XLT,30375,6,22,224,78.9,73.5,138.5,,,6485,1570,40.1,63.1,41.3,65.8,39.6,,39,65.8,30
100447910,Truck (SuperCrew),Ford,F-150,2005,XLT,33560,6,20,224,78.9,76,138.5,,,6485,1360,40.1,63.1,41.3,65.8,39.6,,39,65.8,30
100447911,Truck (SuperCrew),Ford,F-150,2005,FX4,35655,6,21,224,78.9,76,138.5,,,6785,1560,40.1,63.1,41.3,65.8,39.6,,39,65.8,30
100447912,Truck (SuperCrew),Ford,F-150,2005,Lariat,33440,6,21,224,78.9,73.5,138.5,,,6635,1710,40.1,63.1,41.3,65.8,39.6,,39,65.8,30
100447913,Truck (SuperCrew),Ford,F-150,2005,Lariat,36940,6,21,224,78.9,76,138.5,,,6785,1560,40.1,63.1,41.3,65.8,39.6,,39,65.8,30
100498007,Truck (SuperCrew),Ford,F-150,2005,King Ranch,36590,6,21,224,78.9,73.5,138.5,,,6635,1710,40.1,63.1,41.3,65.8,39.6,,39,65.8,30
100498008,Truck (SuperCrew),Ford,F-150,2005,King Ranch,40090,6,21,224,78.9,76,138.5,,,6785,1560,40.1,63.1,41.3,65.8,39.6,,39,65.8,30
100946386,Coupe,BMW,3 Series,2008,335i,41200,4,2,181.1,70.2,54.1,108.7,,11.1,4248,,37.1,,41.8,55.3,36.1,,33.7,51.9,16.1
100946472,Sedan,BMW,3 Series,2008,328xi,34600,5,1,178.2,71.5,55.9,108.7,,12,4392,,38.5,,41.5,55.4,37.5,,34.6,55.1,16.1
100946473,Sedan,BMW,3 Series,2008,335i,39300,5,2,178.2,71.5,55.9,108.7,,12,4403,,38.5,,41.5,55.4,37.5,,34.6,55.1,16.1
100946476,Wagon,BMW,3 Series,2008,328xi,36400,5,1,178.2,71.5,55.8,108.7,,,4623,,38.5,,41.5,55.4,38,,34.6,55.1,16.1
101170629,Truck (Regular Cab),Ford,F-150,2010,XL,22060,3,15,213.1,78.9,74.6,126,8.6,,6035,1690,41,60.5,41.4,66.6,,,,,26
101170630,Truck (Regular Cab),Ford,F-150,2010,XL,22360,3,15,231.7,78.9,76.2,144.5,9.9,,6335,1890,41,60.5,41.4,66.6,,,,,26
101170631,Truck (Regular Cab),Ford,F-150,2010,XL,26430,3,16,213.1,78.9,76,126,8.8,,6235,1660,41,60.5,41.4,66.6,,,,,26
101170632,Truck (Regular Cab),Ford,F-150,2010,XL,26730,3,16,231.7,78.9,75.8,144.5,8.8,,6535,1840,41,60.5,41.4,66.6,,,,,36
101170633,Truck (Regular Cab),Ford,F-150,2010,STX,25085,3,15,213.1,78.9,74.6,126,8.6,,6035,1690,41,60.5,41.4,66.6,,,,,26
101170634,Truck (Regular Cab),Ford,F-150,2010,STX,28230,3,16,213.1,78.9,76,126,8.8,,6235,1660,41,60.5,41.4,66.6,,,,,26
101170635,Truck (Regular Cab),Ford,F-150,2010,XLT,26255,3,15,213.1,78.9,74.6,126,8.6,,6035,1690,41,60.5,41.4,66.6,,,,,26
101170636,Truck (Regular Cab),Ford,F-150,2010,XLT,26555,3,15,231.7,78.9,76.2,144.5,9.9,,6335,1890,41,60.5,41.4,66.6,,,,,26
101170637,Truck (Regular Cab),Ford,F-150,2010,XLT,29400,3,16,213.1,78.9,76,126,8.8,,6035,1660,41,60.5,41.4,66.6,,,,,26
101170638,Truck (Regular Cab),Ford,F-150,2010,XLT,29700,3,16,231.7,78.9,75.8,144.5,8.8,,6535,1840,41,60.5,41.4,66.6,,,,,36
101170948,Truck (SuperCab),Ford,F-150,2010,XL,25885,6,15,231.7,78.9,71.5,144.5,8.2,,6285,1610,41,60.5,41.4,66.6,39.7,66.6,33.4,66.8,26
101170949,Truck (SuperCab),Ford,F-150,2010,XL,26185,6,17,250.3,78.9,75.9,163.2,9.4,,7785,2650,41,60.5,41.4,66.6,39.7,66.6,33.4,66.8,26
101170950,Truck (SuperCab),Ford,F-150,2010,XL,29030,6,16,231.7,78.9,75.9,144.5,8.7,,6435,1440,41,60.5,41.4,66.6,39.7,66.6,33.4,66.8,36
101170951,Truck (SuperCab),Ford,F-150,2010,XL,29330,6,18,250.3,78.9,76.7,163.2,10,,7785,2340,41,60.5,41.4,66.6,39.7,66.6,33.4,66.8,36
